Variable,Importancia_SHAP,Importancia_Porcentual
Approval_Ratio,2.189526477096362,40.797276343629626
Days_Between_Service_and_Claim,1.418578166010225,26.432256498906632
Amount_Diff,0.5026945130952403,9.366667716377778
Claim_Status,0.1882022742535287,3.506758320366666
Patient_State,0.1608118724998901,2.9963950974527593
Procedure_Code,0.12653882429133892,2.357788059114001
Submission_Month,0.11068876383742966,2.062455116961636
Patient_Age,0.11022793646290087,2.053868556377864
Prior_Visits_12m,0.07470954136936143,1.3920570665095122
Diagnosis_Code,0.07092729662491652,1.3215827947194803
Approved_Amount,0.06860164243229054,1.2782490612530057
Provider_Specialty,0.06434566672654807,1.1989477973517753
Insurance_Type,0.05117095308709263,0.9534643840569315
Length_of_Stay,0.04800566674920945,0.8944858502122127
Claim_Amount,0.04715348234710371,0.8786071646095865
Number_of_Claims_Per_Provider_Monthly,0.045332209739088414,0.8446715339316603
Visit_Type,0.035621464883120985,0.6637319812313129
Patient_Gender,0.020715026903957275,0.3859814831685516
Submission_Year,0.018523167267066085,0.3451407332401541
Chronic_Condition_Flag,0.01446978840384344,0.26961444052885397
